id,price
54273,33483.7690359377
54274,23969.53001916527
54275,26084.379760903845
54276,55838.848688663675
54277,42098.890027493886
54278,71587.41060687635
54279,29131.153591774648
54280,23111.19321404347
54281,13681.713360714863
54282,69019.16446462565
54283,48172.49233729681
54284,12353.469830910104
54285,50356.47891461877
54286,44367.81533494269
54287,54960.20576298664
54288,87998.81275970888
54289,62022.04639521354
54290,41093.747837670926
54291,20595.01376234209
54292,69160.11745504655
54293,39308.71719615758
54294,20596.225007251134
54295,49090.73555583701
54296,61587.08471336582
54297,14725.80766310103
54298,12256.609790039096
54299,17766.22108633716
54300,46106.83229561475
54301,82191.93102321924
54302,61927.50485086714
54303,87998.81275970888
54304,49090.73555583701
54305,69160.11745504655
54306,33483.7690359377
54307,34723.11940004775
54308,14018.28320146296
54309,27079.652329658275
54310,21220.056322189368
54311,61587.08471336582
54312,13374.15452806127
54313,20402.738784727706
54314,69019.16446462565
54315,103590.02702912813
54316,19259.810060134405
54317,50356.47891461877
54318,51934.909807598735
54319,13274.337403839292
54320,51445.865045822306
54321,53965.24504546514
54322,17294.012169383463
54323,28534.792520653005
54324,71587.41060687635
54325,82191.93102321924
54326,25056.722631960998
54327,62022.04639521354
54328,21345.876862770958
54329,50356.47891461877
54330,17294.012169383463
54331,61927.50485086714
54332,31382.070572654462
54333,69121.57964508122
54334,37185.005102744675
54335,33483.7690359377
54336,25056.722631960998
54337,10823.972598097782
54338,55838.848688663675
54339,84729.32931936618
54340,11277.441756357866
54341,82191.93102321924
54342,50356.47891461877
54343,32831.91329664535
54344,82191.93102321924
54345,19496.01252170182
54346,61927.50485086714
54347,16304.93705205115
54348,23111.19321404347
54349,28534.792520653005
54350,87998.81275970888
54351,21925.265563327826
54352,32893.78799770124
54353,69019.16446462565
54354,33483.7690359377
54355,13374.15452806127
54356,85499.55991968098
54357,62022.04639521354
54358,69019.16446462565
54359,17355.708703736967
54360,33483.7690359377
54361,82191.93102321924
54362,69083.75975236889
54363,87998.81275970888
54364,17294.012169383463
54365,44009.9215294362
54366,71587.41060687635
54367,25056.722631960998
54368,19259.810060134405
54369,23969.53001916527
54370,34723.11940004775
54371,32814.38701658097
54372,39308.71719615758
54373,51934.909807598735
54374,14392.497908387995
54375,61927.50485086714
54376,33483.7690359377
54377,49090.73555583701
54378,33483.7690359377
54379,14301.183124281193
54380,14725.80766310103
54381,85499.55991968098
54382,14725.80766310103
54383,82191.93102321924
54384,33483.7690359377
54385,33483.7690359377
54386,11277.441756357866
54387,22488.477739516686
54388,69019.16446462565
54389,11277.441756357866
54390,82191.93102321924
54391,12256.609790039096
54392,34723.11940004775
54393,34723.11940004775
54394,23969.53001916527
54395,29131.153591774648
54396,54960.20576298664
54397,49996.170224653615
54398,29131.153591774648
54399,87998.81275970888
54400,57735.59496206564
54401,42098.890027493886
54402,25056.722631960998
54403,61927.50485086714
54404,29131.153591774648
54405,19452.666980660855
54406,69019.16446462565
54407,7422.333702441112
54408,80018.35992013631
54409,16897.118400127925
54410,54859.7960603373
54411,20595.01376234209
54412,39308.71719615758
54413,61927.50485086714
54414,21925.265563327826
54415,28534.792520653005
54416,82191.93102321924
54417,25056.722631960998
54418,23403.137578014135
54419,12252.148028502495
54420,103590.02702912813
54421,18395.547734451786
54422,21925.265563327826
54423,19496.01252170182
54424,29131.153591774648
54425,51111.17843102878
54426,34723.11940004775
54427,23111.19321404347
54428,6660.017188390558
54429,14725.80766310103
54430,17335.953571571474
54431,12256.609790039096
54432,17335.953571571474
54433,54960.20576298664
54434,43618.520806116794
54435,26084.379760903845
54436,35772.67990732466
54437,21199.788245956162
54438,53965.24504546514
54439,37149.28055486729
54440,32893.78799770124
54441,29131.153591774648
54442,45160.379603086454
54443,33936.03735194695
54444,25056.722631960998
54445,32893.78799770124
54446,28534.792520653005
54447,33483.7690359377
54448,19452.666980660855
54449,30486.174002839947
54450,33483.7690359377
54451,27640.80623360489
54452,11963.223723653868
54453,23111.19321404347
54454,33483.7690359377
54455,9726.511102669505
54456,33483.7690359377
54457,50882.15938475213
54458,25632.83684475021
54459,38423.493478792494
54460,71587.41060687635
54461,14018.28320146296
54462,32814.38701658097
54463,61587.08471336582
54464,14411.046493921634
54465,46844.95256112013
54466,46844.95256112013
54467,26962.58867874934
54468,15918.042245749628
54469,29131.153591774648
54470,20172.49570408174
54471,61392.02566103571
54472,33483.7690359377
54473,31382.070572654462
54474,82191.93102321924
54475,49090.73555583701
54476,33483.7690359377
54477,33653.163697798314
54478,34104.345464059355
54479,29131.153591774648
54480,25233.15893289054
54481,26165.40498396192
54482,33483.7690359377
54483,51934.909807598735
54484,19496.01252170182
54485,27079.652329658275
54486,26084.379760903845
54487,36835.56696728726
54488,7422.333702441112
54489,29131.153591774648
54490,13181.297607534822
54491,12256.609790039096
54492,33483.7690359377
54493,103590.02702912813
54494,19259.810060134405
54495,49090.73555583701
54496,29131.153591774648
54497,47997.1405411385
54498,70139.67157063165
54499,46844.95256112013
54500,46160.12929654104
54501,27287.55642183926
54502,29747.083553468034
54503,87998.81275970888
54504,38423.493478792494
54505,42649.52579104348
54506,46844.95256112013
54507,69160.11745504655
54508,29747.083553468034
54509,30524.644212968287
54510,61927.50485086714
54511,21925.265563327826
54512,33483.7690359377
54513,33483.7690359377
54514,14301.183124281193
54515,5972.642245952425
54516,33483.7690359377
54517,11277.441756357866
54518,49090.73555583701
54519,13274.337403839292
54520,27651.953250565075
54521,42098.890027493886
54522,37185.005102744675
54523,49090.73555583701
54524,33483.7690359377
54525,26084.379760903845
54526,69019.16446462565
54527,82191.93102321924
54528,35275.19286485282
54529,33483.7690359377
54530,21222.99872781174
54531,21199.788245956162
54532,87998.81275970888
54533,-469.11000964845425
54534,17089.975320654376
54535,54960.20576298664
54536,11277.441756357866
54537,82191.93102321924
54538,50287.72390368338
54539,33483.7690359377
54540,14476.873505071999
54541,17294.012169383463
54542,103590.02702912813
54543,23969.53001916527
54544,33483.7690359377
54545,9064.465474047069
54546,13374.15452806127
54547,33483.7690359377
54548,147501.37298904458
54549,33483.7690359377
54550,15918.042245749628
54551,6993.326943103593
54552,35275.19286485282
54553,53122.654501956946
54554,17294.012169383463
54555,49090.73555583701
54556,28534.792520653005
54557,10823.972598097782
54558,103590.02702912813
54559,20948.298349257482
54560,27640.80623360489
54561,23969.53001916527
54562,69019.16446462565
54563,12256.609790039096
54564,9064.465474047069
54565,14301.183124281193
54566,14301.183124281193
54567,82191.93102321924
54568,33483.7690359377
54569,21222.99872781174
54570,50356.47891461877
54571,87998.81275970888
54572,61587.08471336582
